worker name,job title,skills,rating,location
Sonnnie Belham,electrician, solve all electrical issues ,4,3 East Parkway
Brendon Axleby,accountant ,accounting ,4,1772 Orin Point
Quentin Calcut,painter,"painting houses,buildings ",1,217 Arapahoe Lane
Glenine Drayton,shop worker,working in various shops,0,57224 Maryland Terrace
Neel Lodewick,washing machine repairing,repair all types of washing machines,0,43 Scoville Road
Roderich Desouza,carpenter, furniture making ,0,5192 Cambridge Crossing
Bunnie McElvogue,cleaning worker,cleaning,0,8 West Crossing
Warren Light,baker,"cook cakes,creativity,skilled in using ovens",1,9 Emmet Crossing
Odetta How to preserve,shop worker,working in various shops,2,6628 Ohio Terrace
Siffre Chitter,care taker,taking care of old people and small children,3,25 Pankratz Place
Flemming Vairow,electrician,solve all electrical issues ,5,8312 Arrowood Parkway
Ranee Berrie,shop worker,working in various shops,4,79 Larry Point
Maggee Staning,web developer,design and build website,3,77 Saint Paul Drive
Carolee Rembrant,carpenter, furniture making ,5,0097 Towne Road
Humfrey Jagg,app developer,design and build apps,4,92 Eggendart Pass
Cornelle Daton,painter,"painting houses,buildings ",0,5907 Banding Avenue
Augustine Geratasch,architect,design new buildings,3,61001 Bultman Place
Kailey Grunder,care taker,taking care of old people and small children,0,8173 Monument Trail
Karina Joly,accountant ,accounting ,0,52496 Eagle Crest Circle
Serena Milazzo,tester,for finding the bugs in the code,4,448 Oxford Center
Leonidas Bausmann,cleaning worker,cleaning,0,171 Continental Drive
Loralee Wotherspoon,Plumber,install and repair pipes,0,06 Dovetail Pass
Willi Bury,carpenter, furniture making ,0,192 Dayton Avenue
Inge Loble,Plumber,install and repair pipes,3,68914 Forest Dale Lane
Ivie Acom,tester,for finding the bugs in the code,0,15 Lyons Place
Junina Messruther,web developer,design and build website,1,97850 Magdeline Alley
Elayne Dupoy,painter,"painting houses,buildings ",4,88886 Northwestern Pass
Kelcey McInally,architect,design new buildings,0,8200 Transport Center
Kile Farherty,care taker,taking care of old people and small children,0,184 Mcguire Junction
Antonie Duckham,bartender,"serves the drink,food",1,179 Gale Way
Chloette Hane,Plumber,install and repair pipes,5,44881 Wayridge Point
Greer de Castelain,social worker,who help people solve and cope with problems,2,38769 Petterle Point
Carly Edlington,mobile repairing,repair all types of mobile devices,0,9001 Kinsman Terrace
Christophorus Yurasov,software architect,help to build the code,4,7724 Hudson Alley
Archibold Vasiliu,carpenter, furniture making ,5,56 Warbler Plaza
Hamnet Gasnoll,sweeper,cleaning and maintaining house,4,2 Anzinger Hill
Valentine Sander,app developer,design and build apps,0,23574 Jenifer Hill
Casey Fortnam,electrician, solve all electrical issues ,3,09 Main Center
Fleming Sharvell,cleaning worker,cleaning,0,82265 Marquette Pass
Sax Voaden,architect,design new buildings,3,0 Fuller Center
Calhoun Umbers,care taker,taking care of old people and small children,3,9 School Court
Adrian Duffill,accountant ,accounting ,0,0742 Lunder Circle
Drake Kubicki,web developer,design and build website,3,0206 1st Hill
Abner Newby,tester,for finding the bugs in the code,0,9 Green Ridge Drive
Mara Footitt,painter,"painting houses,buildings ",0,19973 Emmet Way
Glori Rostern,Plumber,install and repair pipes,5,767 Utah Court
Holly-anne Santore,social worker,who help people solve and cope with problems,5,30 Elgar Plaza
Kirsten Iacobacci,software architect,help to build the code,2,80519 Northview Road
Bernette Itzakovitz,electrician, solve all electrical issues ,4,05 Hayes Crossing
Shanda Neward,sweeper,cleaning and maintaining house,3,3 Barnett Junction
Georgianna Mogie,barber,hair cutting,2,3502 Darwin Way
Elisha Pimer,masseur,help with massage and accupuncture,2,1 Schurz Avenue
Stanleigh Creffeild,accountant ,accounting ,0,19 Moulton Avenue
Kenyon Drydale,shop worker,working in various shops,3,9844 Holy Cross Junction
Naoma Schiementz,architect,design new buildings,2,3634 Melody Circle
Malissa Satchel,carpenter, furniture making ,5,72178 John Wall Alley
Mitch Tennet,software architect,help to build the code,3,3517 Springs Center
Pedro Bastone,web developer,design and build website,5,76 Hudson Point
Felipe McKimmey,app developer,design and build apps,2,9 Bultman Plaza
Avery Gurwood,carpenter, furniture making ,5,97 Hoffman Avenue
Coreen Bridson,tester,for finding the bugs in the code,3,88195 Bay Circle
Joeann Pilpovic,painter,"painting houses,buildings ",1,5 Scott Crossing
Annora Hegdonne,Plumber,install and repair pipes,4,9214 Toban Court
Krystalle Kaplin,automobile repairing,"tyre exchange,puncture,oiling,etc",4,57 Surrey Park
Ediva Bridle,sweeper,cleaning and maintaining house,2,0 Forest Run Plaza
Hillary Oswald,social worker,who help people solve and cope with problems,2,6 Redwing Alley
Leanna Paxforde,electrician, solve all electrical issues ,0,35989 Carioca Park
Gerry Brimming,software architect,help to build the code,0,6 Kipling Point
Mahmud MacGillivrie,cleaning worker,cleaning,2,86 Trailsway Parkway
Catriona Bovey,accountant ,accounting ,1,2 Hoard Trail
Sophia Chill,barber,hair cutting,5,468 Ryan Court
Hieronymus Tuffey,masseur,help with massage and accupuncture,2,6 Fordem Street
Samantha D'Alessio,carpenter, furniture making ,2,3 Butternut Terrace
Carmencita Hambright,web developer,design and build website,4,857 Shelley Plaza
Vernor Aylen,architect,design new buildings,3,722 Becker Pass
Alexandro Townby,app developer,design and build apps,1,2923 Menomonie Park
Saundra Bowles,broiler cook,"grilled,boiled,roasted non veg",5,39 Scott Avenue
Perren Bollins,tester,for finding the bugs in the code,1,97686 Thompson Road
Shir Saffill,software architect,help to build the code,1,1161 Lerdahl Hill
Shannen Gilby,shop worker,working in various shops,1,3985 Marcy Park
Elna Corragan,sweeper,cleaning and maintaining house,5,110 Elmside Pass
Ardra Tant,painter,"painting houses,buildings ",4,94 Forster Plaza
Keary Banbrook,web developer,design and build website,1,3 Sage Hill
Suzi McNiven,barber,hair cutting,3,9 Macpherson Avenue
Gardner Milsap,carpenter, furniture making ,3,7720 Merry Trail
Cherye Ostler,masseur,help with massage and accupuncture,4,1 Farmco Hill
Kev Wildash,accountant ,accounting ,5,43467 Hanover Hill
Gretna Teligin,barber,hair cutting,2,3026 Cody Trail
Ariela Aldhouse,electrician, solve all electrical issues ,1,50 Mitchell Hill
Amby Masselin,software architect,help to build the code,5,2013 East Avenue
Dolf Diack,tv repairing,all types of LED's and tv,3,0 Quincy Alley
Corilla Sudell,architect,design new buildings,1,43 Hudson Way
Berte Guerreau,web developer,design and build website,4,53 Maywood Plaza
Glory Enrrico,care taker,taking care of old people and small children,4,92 Dunning Way
Zeb Elles,catering manager,"handles complaint about cooking,watering service",4,48 Stoughton Junction
Gennie Kieran,cleaning worker,cleaning,3,24458 Jay Road
Jilli Bramstom,app developer,design and build apps,2,538 Artisan Park
Petey Landis,social worker,who help people solve and cope with problems,2,9 East Terrace
Graeme Floyde,accountant ,accounting ,5,65755 Debs Pass
Jeremias McFaell,sweeper,cleaning and maintaining house,5,5 New Castle Lane
Rodina Mapledoram,shop worker,working in various shops,5,1477 Bowman Avenue
Lynette Greyes,Plumber,install and repair pipes,5,07 Dixon Way
Marianne Semens,painter,"painting houses,buildings ",4,3828 Autumn Leaf Road
Marcel Lattimore,software architect,help to build the code,5,10833 Lighthouse Bay Pass
Anthiathia Melmar,web developer,design and build website,4,8216 Heath Way
Gaultiero Tregiddo,carpenter, furniture making ,0,70 Melody Street
Moreen Gebbe,barber,hair cutting,5,12 Homewood Crossing
Sheree Skym,masseur,help with massage and accupuncture,2,16 Toban Trail
Gennifer Keveren,care taker,taking care of old people and small children,2,562 Kipling Street
Fedora Klimke,accountant ,accounting ,1,9 Golf Plaza
Mose Giacopetti,barber,hair cutting,0,1 Morrow Court
Ruthie Kopp,sweeper,cleaning and maintaining house,1,8 Browning Road
Aristotle Brunone,electrician, solve all electrical issues ,2,64 Fallview Alley
Evaleen Gaylor,app developer,design and build apps,3,515 Grim Pass
Barret Kiessel,washing machine ,repair all types of washing machines,4,5588 New Castle Road
Margaretta Mityakov,architect,design new buildings,3,8537 Loftsgordon Road
Linea Gierhard,cleaning worker,cleaning,2,2361 Sheridan Crossing
Teri Elcoat,shop worker,working in various shops,2,462 Kedzie Center
Norean Topling,tester,for finding the bugs in the code,2,5 Village Road
Fletch Brafield,Farmworker,maintain crops and tend to livestock,1,3773 Kennedy Court
Marketa Brilleman,carpenter, furniture making ,5,280 Almo Center
Chancey Towner,Plumber,install and repair pipes,4,16654 Jay Point
Othelia Spry,web developer,design and build website,4,32351 Bartillon Parkway
Sophronia Dikelin,painter,"painting houses,buildings ",2,5615 Surrey Avenue
Roland Squibb,beautician,facewash cleanup makeup parlour,2,479 Maywood Parkway
Stearne McEnhill,app developer,design and build apps,4,79 Nevada Center
Loralyn Milbourn,barber,hair cutting,5,7 Kings Trail
Josy Theurer,accountant ,accounting ,2,3771 Westerfield Parkway
Kalle Stookes,software architect,help to build the code,1,8839 American Point
Ludvig Andresser,care taker,taking care of old people and small children,2,836 Kipling Plaza
Kelvin Weigh,cooking ,provide tiffins of meal ,2,4 Onsgard Crossing
Anny Ricard,beautician,facewash cleanup makeup parlour,3,46 New Castle Place
Benny Stainburn,sweeper,cleaning and maintaining house,3,27 Miller Junction
Norrie Hoyland,Farmworker,maintain crops and tend to livestock,1,183 Maple Drive
Hyacinthe Bratty,cleaning worker,cleaning,5,9776 Clemons Court
Janene Bernette,washing machine ,repair all types of washing machines,2,295 Warrior Hill
Barby Van der Krui,architect,design new buildings,2,494 Judy Trail
Livia Fligg,web developer,design and build website,2,6 Fairfield Center
Anatollo Spillett,carpenter, furniture making ,3,99 Cody Plaza
Bo Rizzetti,tester,for finding the bugs in the code,4,4201 Carioca Plaza
William Pigot,app developer,design and build apps,4,696 2nd Hill
Haleigh Pringley,app developer,design and build apps,1,40 5th Trail
Ariel Greasley,accountant ,accounting ,3,67 Twin Pines Point
Brena Hinze,Farmworker,maintain crops and tend to livestock,1,49860 Fallview Way
Renard Messent,care taker,taking care of old people and small children,1,078 Maple Wood Center
Martguerita O'Donnelly,shop worker,working in various shops,1,7 New Castle Pass
Roxie Fortnam,Plumber,install and repair pipes,3,518 Dayton Terrace
Benni Breffit,social worker,who help people solve and cope with problems,4,4478 Old Gate Place
Claudianus Jovicic,executive cook,department head for food service,3,23615 Everett Lane
Lucia Bramwich,web developer,design and build website,2,7 Park Meadow Lane
Lazare Deacon,software architect,help to build the code,3,2 Crownhardt Junction
Loralee Saltrese,fridge repairing,"repair not cooling issue,defrost system,etc",0,626 Fieldstone Park
